player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Casey Mittelstadt,BUF,1,2,3,2,35,39,0,47.2972972972973,20212022
Kyle Okposo,BUF,0,0,7,2,25,18,1,58.139534883720934,20212022
Christian Dvorak,MTL,0,0,0,1,20,12,0,62.5,20212022
Jeff Skinner,BUF,0,2,7,3,34,37,4,47.88732394366197,20212022
Tage Thompson,BUF,1,2,8,2,46,57,2,44.66019417475729,20212022
Brendan Gallagher,MTL,0,0,1,0,0,1,2,0.0,20212022
Nick Suzuki,MTL,1,1,2,0,13,19,1,40.625,20212022
Zemgus Girgensons,BUF,1,1,1,0,14,8,1,63.63636363636363,20212022
Jake Evans,MTL,0,0,1,0,2,1,2,66.66666666666666,20212022
Sebastian Aho,CAR,1,6,11,4,101,72,2,58.38150289017341,20212022
Teuvo Teravainen,CAR,1,1,16,0,0,0,2,,20212022
Mathew Barzal,NYI,0,0,3,0,2,1,1,66.66666666666666,20212022
Brock Nelson,NYI,0,0,2,0,6,8,0,42.857142857142854,20212022
Kyle Palmieri,NYI,0,1,0,2,0,3,0,0.0,20212022
Anders Lee,NYI,0,0,0,2,1,2,1,33.33333333333333,20212022
Vincent Trocheck,CAR,0,4,11,2,62,34,6,64.58333333333334,20212022
Andrei Svechnikov,CAR,2,2,11,4,0,0,5,,20212022
Martin Necas,CAR,0,0,12,1,5,11,1,31.25,20212022
Ryan Pulock,NYI,2,0,0,0,0,0,0,,20212022
Adam Lowry,WPG,0,0,0,0,8,3,0,72.72727272727273,20212022
Andrew Copp,WPG,0,1,2,1,10,7,0,58.82352941176471,20212022
Pierre-Luc Dubois,WPG,0,0,3,1,4,7,3,36.36363636363637,20212022
Ryan Getzlaf,ANA,2,3,12,2,93,60,2,60.78431372549019,20212022
Trevor Zegras,ANA,2,1,9,9,16,18,4,47.05882352941176,20212022
Adam Henrique,ANA,0,1,2,4,80,55,2,59.25925925925925,20212022
Kevin Shattenkirk,ANA,4,1,7,1,0,0,1,,20212022
Neal Pionk,WPG,0,1,0,0,0,0,1,,20212022
Maxime Comtois,ANA,0,1,4,4,11,5,7,68.75,20212022
Paul Stastny,WPG,0,0,0,0,1,4,2,20.0,20212022
Nicolas Deslauriers,ANA,0,0,0,1,0,0,9,,20212022
Joel Eriksson Ek,MIN,0,0,0,0,10,11,1,47.61904761904761,20212022
Max Jones,ANA,0,0,0,0,0,0,2,,20212022
Ryan Hartman,MIN,0,0,0,0,8,14,1,36.36363636363637,20212022
Mats Zuccarello,MIN,0,0,4,0,0,1,0,0.0,20212022
Patrice Bergeron,BOS,1,0,4,6,188,100,7,65.27777777777779,20212022
Brad Marchand,BOS,0,1,9,6,4,6,4,40.0,20212022
Craig Smith,BOS,0,0,1,0,0,0,4,,20212022
Alexander Radulov,DAL,1,0,0,1,0,0,0,,20212022
Jacob Peterson,DAL,0,0,2,0,0,0,0,,20212022
Radek Faksa,DAL,0,0,0,0,1,2,0,33.33333333333333,20212022
Tyler Seguin,DAL,0,0,0,1,3,3,0,50.0,20212022
Joe Pavelski,DAL,0,1,1,0,12,5,0,70.58823529411765,20212022
Jamie Benn,DAL,1,0,0,0,3,6,0,33.33333333333333,20212022
Erik Haula,BOS,2,1,2,2,35,14,2,71.42857142857143,20212022
Charlie McAvoy,BOS,7,0,10,7,0,0,8,,20212022
Roope Hintz,DAL,0,0,0,0,7,2,0,77.77777777777779,20212022
Christian Fischer,ARI,0,0,0,0,1,4,0,20.0,20212022
Lawson Crouse,ARI,0,1,1,2,0,1,0,0.0,20212022
Nick Schmaltz,ARI,0,0,2,0,5,3,0,62.5,20212022
Matt Duchene,NSH,0,0,1,0,7,3,0,70.0,20212022
Jordan Staal,CAR,1,0,3,5,39,34,2,53.42465753424658,20212022
Mikael Granlund,NSH,0,0,3,0,6,3,0,66.66666666666666,20212022
Cody Glass,NSH,0,0,0,0,1,0,0,100.0,20212022
Alexandre Carrier,NSH,1,0,0,0,0,0,1,,20212022
Nino Niederreiter,CAR,0,1,8,1,2,0,5,100.0,20212022
Ryan Johansen,NSH,1,0,0,0,24,9,1,72.72727272727273,20212022
Colton Sissons,NSH,0,0,0,0,4,1,0,80.0,20212022
Nick Cousins,NSH,0,0,1,0,0,1,0,0.0,20212022
Jakob Silfverberg,ANA,0,0,4,0,5,3,2,62.5,20212022
Rasmus Andersson,CGY,2,0,1,0,0,0,0,,20212022
Sean Monahan,CGY,0,0,1,0,17,9,1,65.38461538461539,20212022
Rickard Rakell,ANA,0,1,6,2,2,2,1,50.0,20212022
Elias Lindholm,CGY,0,0,0,0,14,9,0,60.86956521739131,20212022
Matthew Tkachuk,CGY,0,1,2,0,1,0,0,100.0,20212022
Milan Lucic,CGY,0,0,0,1,0,0,1,,20212022
Mikael Backlund,CGY,0,0,0,0,9,9,0,50.0,20212022
Bo Horvat,VAN,0,0,2,0,31,13,0,70.45454545454545,20212022
J.T. Miller,VAN,0,0,2,0,1,3,0,25.0,20212022
Elias Pettersson,VAN,0,0,2,1,2,3,0,40.0,20212022
Leon Draisaitl,EDM,0,1,3,1,35,23,0,60.3448275862069,20212022
Connor McDavid,EDM,0,0,4,0,1,1,0,50.0,20212022
Kyle Turris,EDM,0,0,0,0,1,0,1,100.0,20212022
Derek Ryan,EDM,0,0,0,1,1,0,0,100.0,20212022
Cam Fowler,ANA,6,3,3,0,0,0,1,,20212022
Claude Giroux,PHI,0,1,3,0,17,12,0,58.620689655172406,20212022
Derick Brassard,PHI,0,0,0,0,1,4,0,20.0,20212022
Jonathan Drouin,MTL,0,0,1,0,1,1,2,50.0,20212022
Jake Allen,MTL,0,0,1,0,0,0,0,,20212022
Mike Hoffman,MTL,1,0,2,0,0,0,0,,20212022
Chris Wideman,MTL,2,1,2,1,0,0,0,,20212022
Mathieu Perreault,MTL,0,0,0,1,0,1,0,0.0,20212022
Riley Nash,WPG,0,0,0,0,1,0,0,100.0,20212022
Rasmus Asplund,BUF,0,1,2,0,2,5,1,28.57142857142857,20212022
Taylor Hall,BOS,0,0,10,9,0,0,4,,20212022
Rasmus Dahlin,BUF,2,1,4,5,0,0,7,,20212022
Dawson Mercer,NJD,0,0,1,1,1,1,0,50.0,20212022
Damon Severson,NJD,2,0,1,0,0,0,0,,20212022
Pavel Zacha,NJD,0,0,2,0,3,3,0,50.0,20212022
Michael McLeod,NJD,0,0,0,0,3,4,0,42.857142857142854,20212022
P.K. Subban,NJD,0,0,0,1,0,0,0,,20212022
Nico Hischier,NJD,2,0,0,2,20,14,1,58.82352941176471,20212022
Dougie Hamilton,NJD,0,1,1,0,0,0,2,,20212022
Boone Jenner,CBJ,0,0,0,0,15,17,0,46.875,20212022
Jakub Voracek,CBJ,0,1,3,0,0,1,0,0.0,20212022
Steven Lorentz,CAR,0,0,0,0,1,2,0,33.33333333333333,20212022
Mathew Dumba,MIN,1,0,1,1,0,0,0,,20212022
Tomas Hertl,SJS,0,1,0,0,19,11,0,63.33333333333333,20212022
Jonathan Dahlen,SJS,0,0,2,0,0,0,0,,20212022
Logan Couture,SJS,0,1,1,0,4,3,0,57.14285714285714,20212022
Nick Bonino,SJS,0,0,0,0,5,3,1,62.5,20212022
David Pastrnak,BOS,1,3,17,4,0,1,1,0.0,20212022
Charlie Coyle,BOS,0,0,5,6,49,47,2,51.041666666666664,20212022
Trent Frederic,BOS,0,0,1,0,0,0,4,,20212022
Erik Cernak,TBL,0,0,0,0,0,0,1,,20212022
Steven Stamkos,TBL,0,0,1,1,6,18,0,25.0,20212022
Anthony Cirelli,TBL,0,1,0,2,17,10,1,62.96296296296296,20212022
Brayden Point,TBL,0,1,0,0,20,14,0,58.82352941176471,20212022
Jacob Bryson,BUF,3,0,2,2,0,0,0,,20212022
Ross Colton,TBL,0,0,0,0,4,4,0,50.0,20212022
Auston Matthews,TOR,0,1,0,1,3,3,0,50.0,20212022
Jason Spezza,TOR,0,0,0,0,7,9,1,43.75,20212022
John Tavares,TOR,0,0,2,0,18,15,0,54.54545454545454,20212022
Pierre Engvall,TOR,0,1,0,0,0,0,0,,20212022
Tony DeAngelo,CAR,2,7,8,3,0,0,5,,20212022
Mitch Marner,TOR,0,1,1,0,0,0,0,,20212022
Rasmus Sandin,TOR,1,1,1,0,0,0,0,,20212022
Isac Lundeström,ANA,0,0,2,0,5,4,0,55.55555555555556,20212022
Matt Grzelcyk,BOS,3,0,2,2,0,0,1,,20212022
Mike Reilly,BOS,0,0,2,0,0,0,2,,20212022
Jonathan Toews,CHI,0,1,0,1,18,8,0,69.23076923076923,20212022
Alex DeBrincat,CHI,0,1,0,1,0,0,0,,20212022
Philipp Kurashev,CHI,0,1,0,1,1,3,0,25.0,20212022
Dominik Kubalik,CHI,0,0,1,0,0,0,0,,20212022
Kirby Dach,CHI,0,1,1,1,0,0,0,,20212022
Brett Pesce,CAR,0,2,1,0,0,0,1,,20212022
Seth Jones,CHI,0,2,0,0,0,0,0,,20212022
Adam Gaudette,CHI,0,0,0,0,0,1,0,0.0,20212022
Brandon Hagel,CHI,0,0,2,0,0,0,0,,20212022
Erik Gustafsson,CHI,0,0,0,1,0,0,0,,20212022
Reese Johnson,CHI,0,0,0,0,0,1,0,0.0,20212022
Josh Manson,ANA,0,0,0,0,0,0,4,,20212022
Aleksander Barkov,FLA,0,0,2,1,20,11,0,64.51612903225806,20212022
Jesperi Kotkaniemi,CAR,0,0,1,0,20,11,2,64.51612903225806,20212022
Barrett Hayton,ARI,0,0,1,1,7,5,0,58.333333333333336,20212022
Dmitrij Jaskin,ARI,0,0,0,1,0,0,0,,20212022
Victor Soderstrom,ARI,0,0,0,1,0,0,0,,20212022
Jakob Chychrun,ARI,0,0,1,0,0,0,0,,20212022
Jay Beagle,ARI,0,0,0,0,0,1,0,0.0,20212022
Clayton Keller,ARI,1,0,0,0,1,1,0,50.0,20212022
Sonny Milano,ANA,0,4,2,1,0,0,4,,20212022
Vinni Lettieri,ANA,0,0,3,3,2,0,0,100.0,20212022
Adam Brooks,MTL,0,0,0,0,0,1,0,0.0,20212022
Anze Kopitar,LAK,0,0,0,0,22,16,0,57.89473684210527,20212022
Phillip Danault,LAK,0,0,0,1,5,2,0,71.42857142857143,20212022
Jonathan Quick,LAK,0,0,1,0,0,0,1,,20212022
Dylan Cozens,BUF,0,1,3,2,33,32,9,50.76923076923077,20212022
Alexander Edler,LAK,0,1,0,0,0,0,0,,20212022
Dustin Brown,LAK,0,0,0,1,0,0,0,,20212022
Yegor Sharangovich,NJD,0,0,0,0,1,3,0,25.0,20212022
Tomas Tatar,NJD,0,0,1,0,0,1,0,0.0,20212022
Jesper Bratt,NJD,0,0,3,0,0,0,0,,20212022
Bo Groulx,ANA,0,0,0,0,0,1,0,0.0,20212022
Jamie Drysdale,ANA,0,1,1,1,0,0,1,,20212022
Ty Smith,NJD,0,2,0,0,0,0,0,,20212022
Troy Terry,ANA,1,2,7,0,0,1,2,0.0,20212022
Vinnie Hinostroza,BUF,0,0,1,0,0,0,2,,20212022
Ian Cole,CAR,0,0,0,1,0,0,2,,20212022
Patrick Kane,CHI,0,0,1,0,0,0,0,,20212022
Sam Gagner,DET,0,0,1,1,6,3,0,66.66666666666666,20212022
Michael Rasmussen,DET,0,0,0,0,5,5,1,50.0,20212022
Nick Leddy,DET,0,0,0,1,0,0,0,,20212022
Robby Fabbri,DET,0,0,0,1,2,4,0,33.33333333333333,20212022
Jake DeBrusk,BOS,0,0,0,3,1,2,0,33.33333333333333,20212022
Yanni Gourde,SEA,1,1,0,0,8,4,0,66.66666666666666,20212022
Jamie Oleksiak,SEA,0,0,0,0,0,0,1,,20212022
Alexander Wennberg,SEA,0,0,1,0,14,4,0,77.77777777777779,20212022
Calle Jarnkrok,SEA,0,1,0,0,1,3,0,25.0,20212022
Morgan Geekie,SEA,0,0,2,0,0,2,1,0.0,20212022
Johan Larsson,ARI,0,0,0,1,2,0,2,100.0,20212022
Liam O'Brien,ARI,0,0,0,0,0,0,1,,20212022
Pius Suter,DET,0,0,2,0,7,5,0,58.333333333333336,20212022
Nick Ritchie,TOR,0,0,0,1,0,0,0,,20212022
Tomas Nosek,BOS,0,0,0,0,2,2,2,50.0,20212022
Anton Lundell,FLA,0,0,0,0,2,2,0,50.0,20212022
Aaron Ekblad,FLA,0,0,1,0,0,0,0,,20212022
Sam Reinhart,FLA,0,0,1,2,2,1,0,66.66666666666666,20212022
Eetu Luostarinen,FLA,0,0,0,0,1,1,0,50.0,20212022
Ethan Bear,CAR,1,0,1,1,0,0,0,,20212022
Ryan O'Reilly,STL,0,0,1,0,21,12,0,63.63636363636363,20212022
Justin Faulk,STL,0,1,1,0,0,0,0,,20212022
Robert Thomas,STL,0,0,2,0,13,10,0,56.52173913043478,20212022
Tyler Bozak,STL,0,0,0,0,0,1,0,0.0,20212022
